conversions-&-time;Financial-documents-and-tariff-systems;Data-handling;interest-banking-inflation;scale-and-map-work;lengths-perimeter-area-and-volume;Measuring-weight:-BMI-medicine-dosages;Income-tax;exchange-rates;plans-and-scale;Probability;Maps-and-plans-(models)
Conversions;Tariff systems and break-even analysis;Making sense of national and global statistics;loans and investments;Comparing travel options;Measuring;Understanding BMI;Understanding taxation;working with exchange rates and currency conversions;Interpreting plans;Probability theory;Creating a 3-D model
Working with travel timetables and tide tables;Income-and-expenditure statements and budgets;quartile and percentile values and interpreting box-and whisker diagrams;Inflation;Compass directions;Calculating perimeter, area and volume;Using formulae to determine medicine dosage;Determining income tax;Buying and selling currency;Determining scales;Prediction;
;Running a small business;opposing arguments using the same summarised and/or represented data;;Scale;;;IRP5 tax forms;;;Expressions of probability in the press;
