Numbers-and-calculations-with-numbers;Patterns-relationships-and-representations;Conversions-and-time;Financial-documents-and-tariff-ystems;Measuring-length-weight-volume-and-temperature;Scale-maps-and-plans;Probability;Personal-income-expenditure-and-budgets;Measurement-of-perimeter-and-area;Assembly-diagrams-floor-plans-and-packaging;Banking-interest-and-taxation;Data-handling
Introduction and key concepts;Introduction and key concepts;Introduction and key concepts;Introduction and key concepts;Introduction and key concepts;Introduction and key concepts;Introduction and key concepts;Introduction and key concepts;Introduction and key concepts;Introduction and key concepts;Introduction and key concepts;Introduction and key concepts
Number formats and conventions;Making sense of graphs that tell a story;Converting metric units of measurement from memory;Financial documents;Estimating and measuring length and distance;Number and bar scales;Prediction;Personal income and expenditure;Measuring perimeter;Assembly diagrams;Banking accounts and documents;The data handling cycle
Operations using numbers and calculator skills;Linear patterns, relationships and graphs;Converting units of measurement using given conversion factors;Tariff systems;Measuring mass or weight;Maps, directions, seating and floor plans;Fair and unfair games;Personal budgets, income and expenditure statements;Measuring area;Floor plans;Interest;Developing questions
Squares, square roots and cubes;Inverse proportion patterns, relationships and graphs;Reading and calculating time;;Measuring volume;;Single and combined outcomes;The difference between budgets and statements;;Packaging and models;Value Added Tax;Collecting data
Rounding;Finding the rule or formula;;;Measuring and monitoring temperature;;Weather predictions;Theimportanceofsaving;;;;Classifying and organising data
Ratio, rate and proportion;;;;;;;;;;;Summarising data
Percentages;;;;;;;;;;;Representing data
;;;;;;;;;;;Analysing data
