PATTERNS-RELATIONSHIPS-AND-REPRESENTATIONS;CONVERSIONS-AND-TIME;Financial-documents-and-tariff-systems;Interest-banking-and-inflation;Weight-and-Temperatute;MAPS;Area-and-Volume;PLANS-AND-OTHER-REPRESENTATIONS;FINANCE-(TAXATION AND UIF);Probability;EXCHANGE-RATES;DATA-HANDLING.
Types of relationships;Conversions;FINANCIAL DOCUMENTS;Interest;Working with weight;Maps that help you find your way;Surface area;Floor and elevation plans;Understanding UIF;Expressions of probability;What are exchange rates?;Collecting data to answer questions
Working with two relationships on a set of axes;Converting between liquid and solid quantities;Budgets and statements of income and expenditure;Banking;Measuring temperature;Maps that provide information about an event;Volume;Design drawings;Calculating UIF;Representations for determining possible outcomes;Working with exchange rate values;Organising data
;Time;Cost price and selling price;Inflation;;;;Drawing scaled plans;;Prediction;Understanding the value of a currency in relation to other currencies.;Displaying data
;;Break-even analysis;;;;;Working with models;;;;Summarising data
;;Tariff systems;;;;;;;;;
